Number_of_Slices,Math_Solve_Time_ms,Math_UHR_Loss,PINN_10_Loss,PINN_10_DRU_Rate,PINN_15_Loss,PINN_15_DRU_Rate,PINN_20_Loss,PINN_20_DRU_Rate
4,175.02732276916504,1.4270589474588633,0.22600519098341465,0.175,0.23916948810219765,0.175,0.23109192326664924,0.175
8,266.27917289733887,2.493576776981354,0.30015394985675814,0.0,0.32305162996053693,0.0,0.3341386541724205,0.0125
16,494.21753883361816,5.179087972640991,0.7673470944166183,0.025,0.7288632273674012,0.0,0.7528960824012756,0.0
32,1411.220097541809,34.665479516983034,1.8453374266624452,0.121875,1.8412573218345643,0.0875,2.0091928124427794,0.04375
64,8174.570560455322,31.12707052230835,5.33131217956543,0.0609375,5.394995522499085,0.040625,5.864428281784058,0.0125
